article_id,title,url,canonical_url,publisher_domain,publisher_id,publisher_group_id,source_system,first_seen_at,published_at,timestamp_confidence,language,publisher_country,description,category,vietnam_relevance,duplicate_family_id,branch,collection_mode,raw_payload_ref
8681da9175c4233e,Vietnam richest man Pham Nhat Vuong turns businesses over to sons,https://asia.nikkei.com/business/automobiles/electric-vehicles/vietnam-s-richest-man-pham-nhat-vuong-turns-businesses-over-to-sons,https://asia.nikkei.com/business/automobiles/electric-vehicles/vietnam-s-richest-man-pham-nhat-vuong-turns-businesses-over-to-sons,asia.nikkei.com,nikkei_asia,nikkei,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,JP,,,True,,international,historical_backfill,
407465db9b6fa3da,Thượng đỉnh Putin - Tô Lâm : Việt Nam  không nao núng  khi quan hệ với Nga,https://www.bbc.com/vietnamese/articles/czdzjqlg0g7o,https://bbc.com/vietnamese/articles/czdzjqlg0g7o,bbc.com,bbc,bbc,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,vietnamese,GB,,,True,,international,historical_backfill,
d728eff85ddceed2,Vietnam Grab drivers call for two - day app boycott over falling earnings,https://www.channelnewsasia.com/asia/vietnam-grab-drivers-call-two-day-boycott-app-earnings-6375506,https://channelnewsasia.com/asia/vietnam-grab-drivers-call-two-day-boycott-app-earnings-6375506,channelnewsasia.com,cna,mediacorp,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,SG,,,True,,international,historical_backfill,
4d0d49b7c7eac726,Vietnam and Russia deepen energy ties as To Lam visits Moscow,https://asia.nikkei.com/politics/international-relations/vietnam-and-russia-deepen-energy-ties-as-to-lam-visits-moscow,https://asia.nikkei.com/politics/international-relations/vietnam-and-russia-deepen-energy-ties-as-to-lam-visits-moscow,asia.nikkei.com,nikkei_asia,nikkei,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,JP,,,True,,international,historical_backfill,
037412ce7c24cd2c,Vietnam To Lam visits Russia and France amid South China Sea tensions,https://www.scmp.com/week-asia/politics/article/3366735/vietnams-lam-visits-russia-and-france-amid-south-china-sea-tensions,https://scmp.com/week-asia/politics/article/3366735/vietnams-lam-visits-russia-and-france-amid-south-china-sea-tensions,scmp.com,scmp,scmp,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,HK,,,True,,international,historical_backfill,
cfb7cab3fc014020,Ho Chi Minh City delays low - emission zone rollout by 6 months,https://asia.nikkei.com/spotlight/environment/ho-chi-minh-city-delays-low-emission-zone-rollout-by-6-months,https://asia.nikkei.com/spotlight/environment/ho-chi-minh-city-delays-low-emission-zone-rollout-by-6-months,asia.nikkei.com,nikkei_asia,nikkei,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,JP,,,True,,international,historical_backfill,
ff317fd5eec6f214,"Review | Venice 2026 : Mr . Nelson , Did You Kill People ? is a haunting Vietnam war drama",https://www.scmp.com/lifestyle/entertainment/article/3366337/venice-2026-mr-nelson-did-you-kill-people-haunting-vietnam-war-drama,https://scmp.com/lifestyle/entertainment/article/3366337/venice-2026-mr-nelson-did-you-kill-people-haunting-vietnam-war-drama,scmp.com,scmp,scmp,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,HK,,,True,,international,historical_backfill,
cdfaffd9ccb674f7,The next Bali or Jeju ? Vietnam biggest isle aims to become a  global island destination,https://www.straitstimes.com/asia/se-asia/vietnams-biggest-island-races-to-reinvent-itself-ahead-of-apec-2027,https://straitstimes.com/asia/se-asia/vietnams-biggest-island-races-to-reinvent-itself-ahead-of-apec-2027,straitstimes.com,straits_times,sph_media,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,SG,,,True,,international,historical_backfill,
f6a085eb648ee4e0,Vietnam court sentences 11 to death in drug trafficking case,https://www.bbc.co.uk/news/articles/cqjk4lwddz0o,https://bbc.co.uk/news/articles/cqjk4lwddz0o,bbc.co.uk,bbc,bbc,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,GB,,,True,,international,historical_backfill,
da50861260b307e1,Vietnam exports and imports soar to record levels on AI boom,https://asia.nikkei.com/spotlight/supply-chain/vietnam-exports-and-imports-soar-to-record-levels-on-ai-boom,https://asia.nikkei.com/spotlight/supply-chain/vietnam-exports-and-imports-soar-to-record-levels-on-ai-boom,asia.nikkei.com,nikkei_asia,nikkei,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,JP,,,True,,international,historical_backfill,
747d8857dca4a5e7,Vietnam arrests deputy minister over probe into huge bribes,https://www.scmp.com/news/asia/southeast-asia/article/3366153/vietnam-arrests-deputy-minister-over-probe-huge-bribes,https://scmp.com/news/asia/southeast-asia/article/3366153/vietnam-arrests-deputy-minister-over-probe-huge-bribes,scmp.com,scmp,scmp,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,HK,,,True,,international,historical_backfill,
54022c239506e73d,Data to Direction : How Vietnam is Reinventing the Strategic State,https://www.scmp.com/presented/news/hong-kong/education/topics/innovating-advance-humanity/article/3365130/data-direction-how-vietnam-reinventing-strategic-state,https://scmp.com/presented/news/hong-kong/education/topics/innovating-advance-humanity/article/3365130/data-direction-how-vietnam-reinventing-strategic-state,scmp.com,scmp,scmp,gdelt_doc,2026-09-18T08:29:44Z,,gdelt_seen_time,english,HK,,,True,,international,historical_backfill,
